Evento;Reloj;RND Llegada EP;Tiempo entre llegadas EP;Proxima llegada EP;RND Llegada R;Tiempo entre llegadas R;Proxima llegada R;RND Llegada V;Tiempo entre llegadas V;Proxima llegada V;RND Llegada AE;Tiempo entre llegadas AE;Proxima llegada AE;RND Llegada P;Tiempo entre llegadas P;Proxima llegada P;RND fin EP;Tiempo atencion EP;Tiempo fin envio 1;Tiempo fin envio 2;Tiempo fin envio 3;RND fin R;Tiempo atencion R;Tiempo fin reclamo 1;Tiempo fin reclamo 2;RND fin V;Tiempo atencion V;Tiempo fin venta 1;Tiempo fin venta 2;Tiempo fin venta 3;RND fin AE;Tiempo atencion AE;Tiempo fin atencion 1;Tiempo fin atencion 2;RND fin P;Tiempo atencion P;Tiempo fin postal;EP COLA 1;EP Estado 1;EP COLA 2;EP Estado 2;EP COLA 3;EP Estado 3;R COLA 1;R Estado 1;R COLA 2;R Estado 2;V COLA 1;V Estado 1;V COLA 2;V Estado 2;V COLA 3;V Estado 3;AE COLA 1;AE Estado 1;AE COLA 2;AE Estado 2;P COLA 1;P Estado 1;AC tiempo espera EP;AC ocupacion EP;CANT EP;AC tiempo espera R;AC ocupacion R;CANT R;AC tiempo espera V;AC ocupacion V;CANT V;AC tiempo espera AE;AC ocupacion AE;CANT AE;AC tiempo espera P;AC ocupacion P;CANT P;Estado 1;HEspera 1;HAtencion 1;Estado 2;HEspera 2;HAtencion 2;Estado 3;HEspera 3;HAtencion 3;Estado 4;HEspera 4;HAtencion 4;Estado 5;HEspera 5;HAtencion 5;Estado 6;HEspera 6;HAtencion 6;Estado 7;HEspera 7;HAtencion 7;Estado 8;HEspera 8;HAtencion 8;Estado 9;HEspera 9;HAtencion 9;Estado 10;HEspera 10;HAtencion 10;Estado 11;HEspera 11;HAtencion 11;Estado 12;HEspera 12;HAtencion 12;Estado 13;HEspera 13;HAtencion 13;Estado 14;HEspera 14;HAtencion 14;Estado 15;HEspera 15;HAtencion 15;Estado 16;HEspera 16;HAtencion 16;Estado 17;HEspera 17;HAtencion 17;Estado 18;HEspera 18;HAtencion 18;Estado 19;HEspera 19;HAtencion 19;Estado 20;HEspera 20;HAtencion 20;Estado 21;HEspera 21;HAtencion 21;Estado 22;HEspera 22;HAtencion 22;Estado 23;HEspera 23;HAtencion 23;Estado 24;HEspera 24;HAtencion 24;Estado 25;HEspera 25;HAtencion 25;Estado 26;HEspera 26;HAtencion 26;Estado 27;HEspera 27;HAtencion 27;Estado 28;HEspera 28;HAtencion 28;Estado 29;HEspera 29;HAtencion 29;Estado 30;HEspera 30;HAtencion 30;Estado 31;HEspera 31;HAtencion 31
Inicializacion;0;0,79;3,74;3,74;0,91;9,63;9,63;0,32;0,77;0,77;0,8;9,65;9,65;0,62;7,25;7,25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Libre;0;Libre;0;Libre;0;Libre;0;Libre;0;Libre;0;Libre;0;Libre;0;Libre;0;Libre;0;Libre;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
llegada_venta;0,77;0;0;3,74;0;0;9,63;0,78;3,02;3,79;0;0;9,65;0;0;7,25;0;0;0;0;0;0;0;0;0;0,68;3,79;4,56;0;0;0;0;0;0;0;0;0;0;Libre;0;Libre;0;Libre;0;Libre;0;Libre;0;Ocupado;0;Libre;0;Libre;0;Libre;0;Libre;0;Libre;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SV1;0;0,77;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
llegada_envio;3,74;0,44;1,39;5,13;0;0;9,63;0;0;3,79;0;0;9,65;0;0;7,25;0,14;0,9;4,64;0;0;0;0;0;0;0;0;4,56;0;0;0;0;0;0;0;0;0;0;Ocupado;0;Libre;0;Libre;0;Libre;0;Libre;0;Ocupado;0;Libre;0;Libre;0;Libre;0;Libre;0;Libre;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SV1;0;0,77;SE1;0;3,74;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
llegada_venta;3,79;0;0;5,13;0;0;9,63;0,31;0,74;4,53;0;0;9,65;0;0;7,25;0;0;4,64;0;0;0;0;0;0;0,78;5,04;4,56;8,83;0;0;0;0;0;0;0;0;0;Ocupado;0;Libre;0;Libre;0;Libre;0;Libre;0;Ocupado;0;Ocupado;0;Libre;0;Libre;0;Libre;0;Libre;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SV1;0;0,77;SE1;0;3,74;SV2;0;3,79;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
llegada_venta;4,53;0;0;5,13;0;0;9,63;0,47;1,26;5,79;0;0;9,65;0;0;7,25;0;0;4,64;0;0;0;0;0;0;0,38;1,59;4,56;8,83;6,12;0;0;0;0;0;0;0;0;Ocupado;0;Libre;0;Libre;0;Libre;0;Libre;0;Ocupado;0;Ocupado;0;Ocupado;0;Libre;0;Libre;0;Libre;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SV1;0;0,77;SE1;0;3,74;SV2;0;3,79;SV3;0;4,53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fin_venta1;4,56;0;0;5,13;0;0;9,63;0;0;5,79;0;0;9,65;0;0;7,25;0;0;4,64;0;0;0;0;0;0;0;0;0;8,83;6,12;0;0;0;0;0;0;0;0;Ocupado;0;Libre;0;Libre;0;Libre;0;Libre;0;Libre;0;Ocupado;0;Ocupado;0;Libre;0;Libre;0;Libre;0;0;0;0;0;0;0;3,79;1;0;0;0;0;0;0;Eliminado;-;-;SE1;0;3,74;SV2;0;3,79;SV3;0;4,53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fin_envio1;4,64;0;0;5,13;0;0;9,63;0;0;5,79;0;0;9,65;0;0;7,25;0;0;0;0;0;0;0;0;0;0;0;0;8,83;6,12;0;0;0;0;0;0;0;0;Libre;0;Libre;0;Libre;0;Libre;0;Libre;0;Libre;0;Ocupado;0;Ocupado;0;Libre;0;Libre;0;Libre;0;0,9;1;0;0;0;0;3,79;1;0;0;0;0;0;0;Eliminado;-;-;Eliminado;-;-;SV2;0;3,79;SV3;0;4,53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
llegada_envio;5,13;0,92;6,06;11,19;0;0;9,63;0;0;5,79;0;0;9,65;0;0;7,25;0,7;7,22;12,35;0;0;0;0;0;0;0;0;0;8,83;6,12;0;0;0;0;0;0;0;0;Ocupado;0;Libre;0;Libre;0;Libre;0;Libre;0;Libre;0;Ocupado;0;Ocupado;0;Libre;0;Libre;0;Libre;0;0,9;1;0;0;0;0;3,79;1;0;0;0;0;0;0;SE1;0;5,13;Eliminado;-;-;SV2;0;3,79;SV3;0;4,53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
llegada_venta;5,79;0;0;11,19;0;0;9,63;0,75;2,77;8,56;0;0;9,65;0;0;7,25;0;0;12,35;0;0;0;0;0;0;0,99;15,33;21,12;8,83;6,12;0;0;0;0;0;0;0;0;Ocupado;0;Libre;0;Libre;0;Libre;0;Libre;0;Ocupado;0;Ocupado;0;Ocupado;0;Libre;0;Libre;0;Libre;0;0,9;1;0;0;0;0;3,79;1;0;0;0;0;0;0;SE1;0;5,13;SV1;0;5,79;SV2;0;3,79;SV3;0;4,53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fin_venta3;6,12;0;0;11,19;0;0;9,63;0;0;8,56;0;0;9,65;0;0;7,25;0;0;12,35;0;0;0;0;0;0;0;0;21,12;8,83;0;0;0;0;0;0;0;0;0;Ocupado;0;Libre;0;Libre;0;Libre;0;Libre;0;Ocupado;0;Ocupado;0;Libre;0;Libre;0;Libre;0;Libre;0;0,9;1;0;0;0;0;5,38;2;0;0;0;0;0;0;SE1;0;5,13;SV1;0;5,79;SV2;0;3,79;Eliminado;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
