Evento;Reloj;RND Llegada EP;Tiempo entre llegadas EP;Prox. llegada EP;RND Llegada R;Tiempo entre llegadas R;Prox. llegada R;RND Llegada V;Tiempo entre llegadas V;Prox. llegada V;RND Llegada AE;Tiempo entre llegadas AE;Prox. llegada AE;RND Llegada P;Tiempo entre llegadas P;Prox. llegada P;RND fin EP;Tiempo atencion EP;Fin envio 1;Fin envio 2;Fin envio 3;RND fin R;Tiempo atencion R;Fin reclamo 1;Fin reclamo 2;RND fin V;Tiempo atencion V;Fin venta 1;Fin venta 2;Fin venta 3;RND fin AE;Tiempo atencion AE;Fin atencion 1;Fin atencion 2;Prox ausencia;Fin ausencia;RND fin P;Tiempo atencion P;Fin postal;EP COLA 1;EP Estado 1;EP COLA 2;EP Estado 2;EP COLA 3;EP Estado 3;R COLA 1;R Estado 1;R COLA 2;R Estado 2;V COLA 1;V Estado 1;V COLA 2;V Estado 2;V COLA 3;V Estado 3;AE COLA 1;AE Estado 1;AE COLA 2;AE Estado 2;P COLA 1;P Estado 1;AC tiempo espera EP;AC ocupacion EP;CANT EP;AC tiempo espera R;AC ocupacion R;CANT R;AC tiempo espera V;AC ocupacion V;CANT V;AC tiempo espera AE;AC ocupacion AE;CANT AE;AC tiempo espera P;AC ocupacion P;CANT P;Estado 1;HEspera 1;HAtencion 1;Estado 2;HEspera 2;HAtencion 2;Estado 3;HEspera 3;HAtencion 3;Estado 4;HEspera 4;HAtencion 4;Estado 5;HEspera 5;HAtencion 5;Estado 6;HEspera 6;HAtencion 6;Estado 7;HEspera 7;HAtencion 7;Estado 8;HEspera 8;HAtencion 8;Estado 9;HEspera 9;HAtencion 9;Estado 10;HEspera 10;HAtencion 10;Estado 11;HEspera 11;HAtencion 11;Estado 12;HEspera 12;HAtencion 12;Estado 13;HEspera 13;HAtencion 13;Estado 14;HEspera 14;HAtencion 14;Estado 15;HEspera 15;HAtencion 15;Estado 16;HEspera 16;HAtencion 16;Estado 17;HEspera 17;HAtencion 17;Estado 18;HEspera 18;HAtencion 18;Estado 19;HEspera 19;HAtencion 19;Estado 20;HEspera 20;HAtencion 20;Estado 21;HEspera 21;HAtencion 21;Estado 22;HEspera 22;HAtencion 22;Estado 23;HEspera 23;HAtencion 23;Estado 24;HEspera 24;HAtencion 24;Estado 25;HEspera 25;HAtencion 25;Estado 26;HEspera 26;HAtencion 26;Estado 27;HEspera 27;HAtencion 27;Estado 28;HEspera 28;HAtencion 28;Estado 29;HEspera 29;HAtencion 29;Estado 30;HEspera 30;HAtencion 30;Estado 31;HEspera 31;HAtencion 31;Estado 32;HEspera 32;HAtencion 32;Estado 33;HEspera 33;HAtencion 33;Estado 34;HEspera 34;HAtencion 34;Estado 35;HEspera 35;HAtencion 35;Estado 36;HEspera 36;HAtencion 36;Estado 37;HEspera 37;HAtencion 37;Estado 38;HEspera 38;HAtencion 38;Estado 39;HEspera 39;HAtencion 39;Estado 40;HEspera 40;HAtencion 40;Estado 41;HEspera 41;HAtencion 41
inicializacion;0;0,36;1,07;1,07;0,5;2,77;2,77;0,9;4,6;4,6;0,91;14,44;14,44;0,21;1,76;1,76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;0;Libre;0;Libre;0;Libre;0;Libre;0;Libre;0;Libre;0;Libre;0;Libre;0;Libre;0;Libre;0;Libre;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
comienzo_ausencia;0,1;0;0;1,07;0;0;2,77;0;0;4,6;0;0;14,44;0;0;1,76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60,1;12,1;0;0;0;0;Libre;0;Libre;0;Libre;0;Libre;0;Libre;0;Libre;0;Libre;0;Libre;0;Libre;0;Ausente;0;Libre;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
llegada_envio;1,07;0,39;1,18;2,25;0;0;2,77;0;0;4,6;0;0;14,44;0;0;1,76;0,89;13,24;14,31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60,1;12,1;0;0;0;0;Ocupado;0;Libre;0;Libre;0;Libre;0;Libre;0;Libre;0;Libre;0;Libre;0;Libre;0;Ausente;0;Libre;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SE1;0;1,07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
llegada_postales;1,76;0;0;2,25;0;0;2,77;0;0;4,6;0;0;14,44;0,86;14,74;16,5;0;0;14,31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60,1;12,1;0,82;34,29;36,05;0;Ocupado;0;Libre;0;Libre;0;Libre;0;Libre;0;Libre;0;Libre;0;Libre;0;Libre;0;Ausente;0;Ocupado;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SE1;0;1,07;SP;0;1,76;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
llegada_envio;2,25;0,95;7,18;9,43;0;0;2,77;0;0;4,6;0;0;14,44;0;0;16,5;0,44;3,47;14,31;5,72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60,1;12,1;0;0;36,05;0;Ocupado;0;Ocupado;0;Libre;0;Libre;0;Libre;0;Libre;0;Libre;0;Libre;0;Libre;0;Ausente;0;Ocupado;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SE1;0;1,07;SP;0;1,76;SE2;0;2,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
llegada_reclamo;2,77;0;0;9,43;0,75;5,54;8,31;0;0;4,6;0;0;14,44;0;0;16,5;0;0;14,31;5,72;0;0,32;3,3;6,07;0;0;0;0;0;0;0;0;0;0;60,1;12,1;0;0;36,05;0;Ocupado;0;Ocupado;0;Libre;0;Ocupado;0;Libre;0;Libre;0;Libre;0;Libre;0;Libre;0;Ausente;0;Ocupado;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SE1;0;1,07;SP;0;1,76;SE2;0;2,25;SR1;0;2,77;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
llegada_venta;4,6;0;0;9,43;0;0;8,31;0,77;2,93;7,53;0;0;14,44;0;0;16,5;0;0;14,31;5,72;0;0;0;6,07;0;0,48;2,17;6,77;0;0;0;0;0;0;60,1;12,1;0;0;36,05;0;Ocupado;0;Ocupado;0;Libre;0;Ocupado;0;Libre;0;Ocupado;0;Libre;0;Libre;0;Libre;0;Ausente;0;Ocupado;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SE1;0;1,07;SP;0;1,76;SE2;0;2,25;SR1;0;2,77;SV1;0;4,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fin_envio2;5,72;0;0;9,43;0;0;8,31;0;0;7,53;0;0;14,44;0;0;16,5;0;0;14,31;0;0;0;0;6,07;0;0;0;6,77;0;0;0;0;0;0;60,1;12,1;0;0;36,05;0;Ocupado;0;Libre;0;Libre;0;Ocupado;0;Libre;0;Ocupado;0;Libre;0;Libre;0;Libre;0;Ausente;0;Ocupado;0;3,47;1;0;0;0;0;0;0;0;0;0;0;0;0;SE1;0;1,07;SP;0;1,76;Eliminado;0;2,25;SR1;0;2,77;SV1;0;4,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fin_reclamo1;6,07;0;0;9,43;0;0;8,31;0;0;7,53;0;0;14,44;0;0;16,5;0;0;14,31;0;0;0;0;0;0;0;0;6,77;0;0;0;0;0;0;60,1;12,1;0;0;36,05;0;Ocupado;0;Libre;0;Libre;0;Libre;0;Libre;0;Ocupado;0;Libre;0;Libre;0;Libre;0;Ausente;0;Ocupado;0;3,47;1;0;3,3;1;0;0;0;0;0;0;0;0;0;SE1;0;1,07;SP;0;1,76;Eliminado;0;2,25;Eliminado;0;2,77;SV1;0;4,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fin_venta1;6,77;0;0;9,43;0;0;8,31;0;0;7,53;0;0;14,44;0;0;16,5;0;0;14,31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60,1;12,1;0;0;36,05;0;Ocupado;0;Libre;0;Libre;0;Libre;0;Libre;0;Libre;0;Libre;0;Libre;0;Libre;0;Ausente;0;Ocupado;0;3,47;1;0;3,3;1;0;2,17;1;0;0;0;0;0;0;SE1;0;1,07;SP;0;1,76;Eliminado;0;2,25;Eliminado;0;2,77;Eliminado;0;4,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
