Evento;Reloj;RND Llegada EP;Tiempo entre llegadas EP;Proxima llegada EP;RND Llegada R;Tiempo entre llegadas R;Proxima llegada R;RND Llegada V;Tiempo entre llegadas V;Proxima llegada V;RND Llegada AE;Tiempo entre llegadas AE;Proxima llegada AE;RND Llegada P;Tiempo entre llegadas P;Proxima llegada P;RND seguridad;Pasa por seguridad;RND fin EP;Tiempo atencion EP;Tiempo fin envio 1;Tiempo fin envio 2;Tiempo fin envio 3;RND fin R;Tiempo atencion R;Tiempo fin reclamo 1;Tiempo fin reclamo 2;RND fin V;Tiempo atencion V;Tiempo fin venta 1;Tiempo fin venta 2;Tiempo fin venta 3;RND fin AE;Tiempo atencion AE;Tiempo fin atencion 1;Tiempo fin atencion 2;RND fin P;Tiempo atencion P;Tiempo fin postal;Tiempo fin seguridad;EP COLA 1;EP Estado 1;EP COLA 2;EP Estado 2;EP COLA 3;EP Estado 3;R COLA 1;R Estado 1;R COLA 2;R Estado 2;V COLA 1;V Estado 1;V COLA 2;V Estado 2;V COLA 3;V Estado 3;AE COLA 1;AE Estado 1;AE COLA 2;AE Estado 2;P COLA 1;P Estado 1;S COLA 1;S Estado 1;AC tiempo espera EP;AC ocupacion EP;CANT EP;AC tiempo espera R;AC ocupacion R;CANT R;AC tiempo espera V;AC ocupacion V;CANT V;AC tiempo espera AE;AC ocupacion AE;CANT AE;AC tiempo espera P;AC ocupacion P;CANT P;AC tiempo espera S;AC ocupacion S;CANT S;Estado 1;HEspera 1;HAtencion 1;Estado 2;HEspera 2;HAtencion 2;Estado 3;HEspera 3;HAtencion 3;Estado 4;HEspera 4;HAtencion 4;Estado 5;HEspera 5;HAtencion 5;Estado 6;HEspera 6;HAtencion 6;Estado 7;HEspera 7;HAtencion 7;Estado 8;HEspera 8;HAtencion 8;Estado 9;HEspera 9;HAtencion 9;Estado 10;HEspera 10;HAtencion 10;Estado 11;HEspera 11;HAtencion 11;Estado 12;HEspera 12;HAtencion 12;Estado 13;HEspera 13;HAtencion 13;Estado 14;HEspera 14;HAtencion 14;Estado 15;HEspera 15;HAtencion 15;Estado 16;HEspera 16;HAtencion 16;Estado 17;HEspera 17;HAtencion 17;Estado 18;HEspera 18;HAtencion 18;Estado 19;HEspera 19;HAtencion 19;Estado 20;HEspera 20;HAtencion 20;Estado 21;HEspera 21;HAtencion 21;Estado 22;HEspera 22;HAtencion 22;Estado 23;HEspera 23;HAtencion 23;Estado 24;HEspera 24;HAtencion 24;Estado 25;HEspera 25;HAtencion 25;Estado 26;HEspera 26;HAtencion 26;Estado 27;HEspera 27;HAtencion 27;Estado 28;HEspera 28;HAtencion 28;Estado 29;HEspera 29;HAtencion 29;Estado 30;HEspera 30;HAtencion 30;Estado 31;HEspera 31;HAtencion 31;Estado 32;HEspera 32;HAtencion 32;Estado 33;HEspera 33;HAtencion 33;Estado 34;HEspera 34;HAtencion 34;Estado 35;HEspera 35;HAtencion 35;Estado 36;HEspera 36;HAtencion 36;Estado 37;HEspera 37;HAtencion 37;Estado 38;HEspera 38;HAtencion 38;Estado 39;HEspera 39;HAtencion 39;Estado 40;HEspera 40;HAtencion 40;Estado 41;HEspera 41;HAtencion 41;Estado 42;HEspera 42;HAtencion 42;Estado 43;HEspera 43;HAtencion 43;Estado 44;HEspera 44;HAtencion 44;Estado 45;HEspera 45;HAtencion 45;Estado 46;HEspera 46;HAtencion 46;Estado 47;HEspera 47;HAtencion 47;Estado 48;HEspera 48;HAtencion 48;Estado 49;HEspera 49;HAtencion 49;Estado 50;HEspera 50;HAtencion 50;Estado 51;HEspera 51;HAtencion 51;Estado 52;HEspera 52;HAtencion 52;Estado 53;HEspera 53;HAtencion 53;Estado 54;HEspera 54;HAtencion 54;Estado 55;HEspera 55;HAtencion 55;Estado 56;HEspera 56;HAtencion 56;Estado 57;HEspera 57;HAtencion 57;Estado 58;HEspera 58;HAtencion 58;Estado 59;HEspera 59;HAtencion 59;Estado 60;HEspera 60;HAtencion 60;Estado 61;HEspera 61;HAtencion 61;Estado 62;HEspera 62;HAtencion 62;Estado 63;HEspera 63;HAtencion 63;Estado 64;HEspera 64;HAtencion 64;Estado 65;HEspera 65;HAtencion 65;Estado 66;HEspera 66;HAtencion 66;Estado 67;HEspera 67;HAtencion 67;Estado 68;HEspera 68;HAtencion 68;Estado 69;HEspera 69;HAtencion 69;Estado 70;HEspera 70;HAtencion 70;Estado 71;HEspera 71;HAtencion 71;Estado 72;HEspera 72;HAtencion 72;Estado 73;HEspera 73;HAtencion 73;Estado 74;HEspera 74;HAtencion 74;Estado 75;HEspera 75;HAtencion 75;Estado 76;HEspera 76;HAtencion 76;Estado 77;HEspera 77;HAtencion 77;Estado 78;HEspera 78;HAtencion 78;Estado 79;HEspera 79;HAtencion 79;Estado 80;HEspera 80;HAtencion 80;Estado 81;HEspera 81;HAtencion 81;Estado 82;HEspera 82;HAtencion 82;Estado 83;HEspera 83;HAtencion 83;Estado 84;HEspera 84;HAtencion 84;Estado 85;HEspera 85;HAtencion 85;Estado 86;HEspera 86;HAtencion 86;Estado 87;HEspera 87;HAtencion 87;Estado 88;HEspera 88;HAtencion 88;Estado 89;HEspera 89;HAtencion 89;Estado 90;HEspera 90;HAtencion 90;Estado 91;HEspera 91;HAtencion 91;Estado 92;HEspera 92;HAtencion 92;Estado 93;HEspera 93;HAtencion 93;Estado 94;HEspera 94;HAtencion 94;Estado 95;HEspera 95;HAtencion 95;Estado 96;HEspera 96;HAtencion 96;Estado 97;HEspera 97;HAtencion 97;Estado 98;HEspera 98;HAtencion 98;Estado 99;HEspera 99;HAtencion 99;Estado 100;HEspera 100;HAtencion 100;Estado 101;HEspera 101;HAtencion 101;Estado 102;HEspera 102;HAtencion 102
llegada_venta;310,49;0;0;312,28;0;0;315,69;0,79;3,12;313,61;0;0;312,2;0;0;319,54;0;;0;0;318,68;0;0;0;0;311,68;312,21;0,42;1,81;311,34;312,3;0;0;0;314,52;325,04;0;0;312,87;0;0;Ocupado;0;Libre;0;Libre;4;Ocupado;1;Ocupado;0;Ocupado;0;Ocupado;0;Libre;1;Ocupado;1;Ocupado;23;Ocupado;0;Libre;1198,39;809,63;137;2687,63;574,15;64;160,15;491,53;164;499,94;496,06;45;599,51;287,08;18;0,28;172,31;99;SE1;0;309,87;SR1;0;307,31;SP;0;291,88;SV1;0;310,43;EAE1;289,21;0;EP;289,78;0;SV2;0;310,49;EP;181,41;181,31;Eliminado;0;303,94;EP;292,14;0;EP;157,96;0;EP;169,31;0;Eliminado;0;306,75;EP;255,93;0;EP;292,21;0;SAE2;0;293,13;EAE2;304,12;0;EP;260,11;260,01;EP;227,48;227,38;EP;186,28;0;Eliminado;0;301,89;EP;75,13;0;EP;293,25;0;EP;249,53;249,43;EP;47,33;0;EP;104,1;104;EP;265,86;265,76;Eliminado;0;300,74;SAE1;0;275,9;Eliminado;0;304,77;Eliminado;0;308,31;EP;174,81;0;EP;122,1;122;EP;122,22;0;SS;0;301,89;EP;182,7;0;Eliminado;0;303,4;Eliminado;0;284,55;Eliminado;0;287,48;ER1;245,81;0;EP;236,92;222,82;EP;237,36;0;EP;269,84;0;Eliminado;0;282,98;ER1;195,69;0;ER1;250,22;0;Eliminado;0;280,04;Eliminado;0;287,26;Eliminado;0;275,87;Eliminado;0;271,29;SS;0;251,65;SS;0;203,28;SR2;0;308,65;SS;0;203,45;SS;0;239,19;Eliminado;0;275,19;ER1;275,48;0;Eliminado;0;278,09;Eliminado;0;288,57;Eliminado;0;283,13;SS;0;244,22;Eliminado;0;267,26;ER2;246,9;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fin_venta1;311,34;0;0;312,28;0;0;315,69;0;0;313,61;0;0;312,2;0;0;319,54;0;;0;0;318,68;0;0;0;0;311,68;312,21;0;0;0;312,3;0;0;0;314,52;325,04;0;0;312,87;0;0;Ocupado;0;Libre;0;Libre;4;Ocupado;1;Ocupado;0;Libre;0;Ocupado;0;Libre;1;Ocupado;1;Ocupado;23;Ocupado;0;Libre;1198,39;809,63;137;2687,63;574,15;64;160,15;492,44;165;499,94;496,06;45;599,51;287,08;18;0,28;172,31;99;SE1;0;309,87;SR1;0;307,31;SP;0;291,88;Eliminado;0;310,43;EAE1;289,21;0;EP;289,78;0;SV2;0;310,49;EP;181,41;181,31;Eliminado;0;303,94;EP;292,14;0;EP;157,96;0;EP;169,31;0;Eliminado;0;306,75;EP;255,93;0;EP;292,21;0;SAE2;0;293,13;EAE2;304,12;0;EP;260,11;260,01;EP;227,48;227,38;EP;186,28;0;Eliminado;0;301,89;EP;75,13;0;EP;293,25;0;EP;249,53;249,43;EP;47,33;0;EP;104,1;104;EP;265,86;265,76;Eliminado;0;300,74;SAE1;0;275,9;Eliminado;0;304,77;Eliminado;0;308,31;EP;174,81;0;EP;122,1;122;EP;122,22;0;SS;0;301,89;EP;182,7;0;Eliminado;0;303,4;Eliminado;0;284,55;Eliminado;0;287,48;ER1;245,81;0;EP;236,92;222,82;EP;237,36;0;EP;269,84;0;Eliminado;0;282,98;ER1;195,69;0;ER1;250,22;0;Eliminado;0;280,04;Eliminado;0;287,26;Eliminado;0;275,87;Eliminado;0;271,29;SS;0;251,65;SS;0;203,28;SR2;0;308,65;SS;0;203,45;SS;0;239,19;Eliminado;0;275,19;ER1;275,48;0;Eliminado;0;278,09;Eliminado;0;288,57;Eliminado;0;283,13;SS;0;244,22;Eliminado;0;267,26;ER2;246,9;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fin_reclamo1;311,68;0;0;312,28;0;0;315,69;0;0;313,61;0;0;312,2;0;0;319,54;0;;0;0;318,68;0;0;0,58;7,43;319,11;312,21;0;0;0;312,3;0;0;0;314,52;325,04;0;0;312,87;0;0;Ocupado;0;Libre;0;Libre;3;Ocupado;1;Ocupado;0;Libre;0;Ocupado;0;Libre;1;Ocupado;1;Ocupado;23;Ocupado;0;Libre;1198,39;809,63;137;2753,5;578,52;65;160,15;492,44;165;499,94;496,06;45;599,51;287,08;18;0,28;172,31;99;SE1;0;309,87;Eliminado;0;307,31;SP;0;291,88;Eliminado;0;310,43;EAE1;289,21;0;EP;289,78;0;SV2;0;310,49;EP;181,41;181,31;Eliminado;0;303,94;EP;292,14;0;EP;157,96;0;EP;169,31;0;Eliminado;0;306,75;EP;255,93;0;EP;292,21;0;SAE2;0;293,13;EAE2;304,12;0;EP;260,11;260,01;EP;227,48;227,38;EP;186,28;0;Eliminado;0;301,89;EP;75,13;0;EP;293,25;0;EP;249,53;249,43;EP;47,33;0;EP;104,1;104;EP;265,86;265,76;Eliminado;0;300,74;SAE1;0;275,9;Eliminado;0;304,77;Eliminado;0;308,31;EP;174,81;0;EP;122,1;122;EP;122,22;0;SS;0;301,89;EP;182,7;0;Eliminado;0;303,4;Eliminado;0;284,55;Eliminado;0;287,48;SR1;0;311,68;EP;236,92;222,82;EP;237,36;0;EP;269,84;0;Eliminado;0;282,98;ER1;195,69;0;ER1;250,22;0;Eliminado;0;280,04;Eliminado;0;287,26;Eliminado;0;275,87;Eliminado;0;271,29;SS;0;251,65;SS;0;203,28;SR2;0;308,65;SS;0;203,45;SS;0;239,19;Eliminado;0;275,19;ER1;275,48;0;Eliminado;0;278,09;Eliminado;0;288,57;Eliminado;0;283,13;SS;0;244,22;Eliminado;0;267,26;ER2;246,9;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
llegada_AE;312,2;0;0;312,28;0;0;315,69;0;0;313,61;0,14;0,9;313,1;0;0;319,54;0;;0;0;318,68;0;0;0;0;319,11;312,21;0;0;0;312,3;0;0;0;314,52;325,04;0;0;312,87;0;0;Ocupado;0;Libre;0;Libre;3;Ocupado;1;Ocupado;0;Libre;0;Ocupado;0;Libre;2;Ocupado;1;Ocupado;23;Ocupado;0;Libre;1198,39;809,63;137;2753,5;578,52;65;160,15;492,44;165;499,94;496,06;45;599,51;287,08;18;0,28;172,31;99;SE1;0;309,87;EAE1;312,2;0;SP;0;291,88;Eliminado;0;310,43;EAE1;289,21;0;EP;289,78;0;SV2;0;310,49;EP;181,41;181,31;Eliminado;0;303,94;EP;292,14;0;EP;157,96;0;EP;169,31;0;Eliminado;0;306,75;EP;255,93;0;EP;292,21;0;SAE2;0;293,13;EAE2;304,12;0;EP;260,11;260,01;EP;227,48;227,38;EP;186,28;0;Eliminado;0;301,89;EP;75,13;0;EP;293,25;0;EP;249,53;249,43;EP;47,33;0;EP;104,1;104;EP;265,86;265,76;Eliminado;0;300,74;SAE1;0;275,9;Eliminado;0;304,77;Eliminado;0;308,31;EP;174,81;0;EP;122,1;122;EP;122,22;0;SS;0;301,89;EP;182,7;0;Eliminado;0;303,4;Eliminado;0;284,55;Eliminado;0;287,48;SR1;0;311,68;EP;236,92;222,82;EP;237,36;0;EP;269,84;0;Eliminado;0;282,98;ER1;195,69;0;ER1;250,22;0;Eliminado;0;280,04;Eliminado;0;287,26;Eliminado;0;275,87;Eliminado;0;271,29;SS;0;251,65;SS;0;203,28;SR2;0;308,65;SS;0;203,45;SS;0;239,19;Eliminado;0;275,19;ER1;275,48;0;Eliminado;0;278,09;Eliminado;0;288,57;Eliminado;0;283,13;SS;0;244,22;Eliminado;0;267,26;ER2;246,9;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fin_reclamo2;312,21;0;0;312,28;0;0;315,69;0;0;313,61;0;0;313,1;0;0;319,54;0;;0;0;318,68;0;0;0,08;0,71;319,11;312,92;0;0;0;312,3;0;0;0;314,52;325,04;0;0;312,87;0;0;Ocupado;0;Libre;0;Libre;3;Ocupado;0;Ocupado;0;Libre;0;Ocupado;0;Libre;2;Ocupado;1;Ocupado;23;Ocupado;0;Libre;1198,39;809,63;137;2818,81;582,08;66;160,15;492,44;165;499,94;496,06;45;599,51;287,08;18;0,28;172,31;99;SE1;0;309,87;EAE1;312,2;0;SP;0;291,88;Eliminado;0;310,43;EAE1;289,21;0;EP;289,78;0;SV2;0;310,49;EP;181,41;181,31;Eliminado;0;303,94;EP;292,14;0;EP;157,96;0;EP;169,31;0;Eliminado;0;306,75;EP;255,93;0;EP;292,21;0;SAE2;0;293,13;EAE2;304,12;0;EP;260,11;260,01;EP;227,48;227,38;EP;186,28;0;Eliminado;0;301,89;EP;75,13;0;EP;293,25;0;EP;249,53;249,43;EP;47,33;0;EP;104,1;104;EP;265,86;265,76;Eliminado;0;300,74;SAE1;0;275,9;Eliminado;0;304,77;Eliminado;0;308,31;EP;174,81;0;EP;122,1;122;EP;122,22;0;SS;0;301,89;EP;182,7;0;Eliminado;0;303,4;Eliminado;0;284,55;Eliminado;0;287,48;SR1;0;311,68;EP;236,92;222,82;EP;237,36;0;EP;269,84;0;Eliminado;0;282,98;ER1;195,69;0;ER1;250,22;0;Eliminado;0;280,04;Eliminado;0;287,26;Eliminado;0;275,87;Eliminado;0;271,29;SS;0;251,65;SS;0;203,28;Eliminado;0;308,65;SS;0;203,45;SS;0;239,19;Eliminado;0;275,19;ER1;275,48;0;Eliminado;0;278,09;Eliminado;0;288,57;Eliminado;0;283,13;SS;0;244,22;Eliminado;0;267,26;SR2;0;312,21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
llegada_envio;312,28;0,38;1,14;313,42;0;0;315,69;0;0;313,61;0;0;313,1;0;0;319,54;0,64;No pasa;0,54;4,65;318,68;316,93;0;0;0;319,11;312,92;0;0;0;312,3;0;0;0;314,52;325,04;0;0;312,87;0;0;Ocupado;0;Ocupado;0;Libre;3;Ocupado;0;Ocupado;0;Libre;0;Ocupado;0;Libre;2;Ocupado;1;Ocupado;23;Ocupado;0;Libre;1198,39;809,63;137;2818,81;582,08;66;160,15;492,44;165;499,94;496,06;45;599,51;287,08;18;0,28;172,31;99;SE1;0;309,87;EAE1;312,2;0;SP;0;291,88;SE2;0;312,28;EAE1;289,21;0;EP;289,78;0;SV2;0;310,49;EP;181,41;181,31;Eliminado;0;303,94;EP;292,14;0;EP;157,96;0;EP;169,31;0;Eliminado;0;306,75;EP;255,93;0;EP;292,21;0;SAE2;0;293,13;EAE2;304,12;0;EP;260,11;260,01;EP;227,48;227,38;EP;186,28;0;Eliminado;0;301,89;EP;75,13;0;EP;293,25;0;EP;249,53;249,43;EP;47,33;0;EP;104,1;104;EP;265,86;265,76;Eliminado;0;300,74;SAE1;0;275,9;Eliminado;0;304,77;Eliminado;0;308,31;EP;174,81;0;EP;122,1;122;EP;122,22;0;SS;0;301,89;EP;182,7;0;Eliminado;0;303,4;Eliminado;0;284,55;Eliminado;0;287,48;SR1;0;311,68;EP;236,92;222,82;EP;237,36;0;EP;269,84;0;Eliminado;0;282,98;ER1;195,69;0;ER1;250,22;0;Eliminado;0;280,04;Eliminado;0;287,26;Eliminado;0;275,87;Eliminado;0;271,29;SS;0;251,65;SS;0;203,28;Eliminado;0;308,65;SS;0;203,45;SS;0;239,19;Eliminado;0;275,19;ER1;275,48;0;Eliminado;0;278,09;Eliminado;0;288,57;Eliminado;0;283,13;SS;0;244,22;Eliminado;0;267,26;SR2;0;312,21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fin_venta2;312,3;0;0;313,42;0;0;315,69;0;0;313,61;0;0;313,1;0;0;319,54;0;;0;0;318,68;316,93;0;0;0;319,11;312,92;0;0;0;0;0;0;0;314,52;325,04;0;0;312,87;0;0;Ocupado;0;Ocupado;0;Libre;3;Ocupado;0;Ocupado;0;Libre;0;Libre;0;Libre;2;Ocupado;1;Ocupado;23;Ocupado;0;Libre;1198,39;809,63;137;2818,81;582,08;66;160,15;494,25;166;499,94;496,06;45;599,51;287,08;18;0,28;172,31;99;SE1;0;309,87;EAE1;312,2;0;SP;0;291,88;SE2;0;312,28;EAE1;289,21;0;EP;289,78;0;Eliminado;0;310,49;EP;181,41;181,31;Eliminado;0;303,94;EP;292,14;0;EP;157,96;0;EP;169,31;0;Eliminado;0;306,75;EP;255,93;0;EP;292,21;0;SAE2;0;293,13;EAE2;304,12;0;EP;260,11;260,01;EP;227,48;227,38;EP;186,28;0;Eliminado;0;301,89;EP;75,13;0;EP;293,25;0;EP;249,53;249,43;EP;47,33;0;EP;104,1;104;EP;265,86;265,76;Eliminado;0;300,74;SAE1;0;275,9;Eliminado;0;304,77;Eliminado;0;308,31;EP;174,81;0;EP;122,1;122;EP;122,22;0;SS;0;301,89;EP;182,7;0;Eliminado;0;303,4;Eliminado;0;284,55;Eliminado;0;287,48;SR1;0;311,68;EP;236,92;222,82;EP;237,36;0;EP;269,84;0;Eliminado;0;282,98;ER1;195,69;0;ER1;250,22;0;Eliminado;0;280,04;Eliminado;0;287,26;Eliminado;0;275,87;Eliminado;0;271,29;SS;0;251,65;SS;0;203,28;Eliminado;0;308,65;SS;0;203,45;SS;0;239,19;Eliminado;0;275,19;ER1;275,48;0;Eliminado;0;278,09;Eliminado;0;288,57;Eliminado;0;283,13;SS;0;244,22;Eliminado;0;267,26;SR2;0;312,21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fin_postales;312,87;0;0;313,42;0;0;315,69;0;0;313,61;0;0;313,1;0;0;319,54;0;;0;0;318,68;316,93;0;0;0;319,11;312,92;0;0;0;0;0;0;0;314,52;325,04;0,3;7,13;320;0;0;Ocupado;0;Ocupado;0;Libre;3;Ocupado;0;Ocupado;0;Libre;0;Libre;0;Libre;2;Ocupado;1;Ocupado;22;Ocupado;0;Libre;1198,39;809,63;137;2818,81;582,08;66;160,15;494,25;166;499,94;496,06;45;622,6;308,07;19;0,28;172,31;99;SE1;0;309,87;EAE1;312,2;0;Eliminado;0;291,88;SE2;0;312,28;EAE1;289,21;0;SP;0;312,87;Eliminado;0;310,49;EP;181,41;181,31;Eliminado;0;303,94;EP;292,14;0;EP;157,96;0;EP;169,31;0;Eliminado;0;306,75;EP;255,93;0;EP;292,21;0;SAE2;0;293,13;EAE2;304,12;0;EP;260,11;260,01;EP;227,48;227,38;EP;186,28;0;Eliminado;0;301,89;EP;75,13;0;EP;293,25;0;EP;249,53;249,43;EP;47,33;0;EP;104,1;104;EP;265,86;265,76;Eliminado;0;300,74;SAE1;0;275,9;Eliminado;0;304,77;Eliminado;0;308,31;EP;174,81;0;EP;122,1;122;EP;122,22;0;SS;0;301,89;EP;182,7;0;Eliminado;0;303,4;Eliminado;0;284,55;Eliminado;0;287,48;SR1;0;311,68;EP;236,92;222,82;EP;237,36;0;EP;269,84;0;Eliminado;0;282,98;ER1;195,69;0;ER1;250,22;0;Eliminado;0;280,04;Eliminado;0;287,26;Eliminado;0;275,87;Eliminado;0;271,29;SS;0;251,65;SS;0;203,28;Eliminado;0;308,65;SS;0;203,45;SS;0;239,19;Eliminado;0;275,19;ER1;275,48;0;Eliminado;0;278,09;Eliminado;0;288,57;Eliminado;0;283,13;SS;0;244,22;Eliminado;0;267,26;SR2;0;312,21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fin_reclamo2;312,92;0;0;313,42;0;0;315,69;0;0;313,61;0;0;313,1;0;0;319,54;0;;0;0;318,68;316,93;0;0;0;319,11;0;0;0;0;0;0;0;0;314,52;325,04;0;0;320;0;0;Ocupado;0;Ocupado;0;Libre;3;Ocupado;0;Libre;0;Libre;0;Libre;0;Libre;2;Ocupado;1;Ocupado;22;Ocupado;0;Libre;1198,39;809,63;137;2818,81;582,78;67;160,15;494,25;166;499,94;496,06;45;622,6;308,07;19;0,28;172,31;99;SE1;0;309,87;EAE1;312,2;0;Eliminado;0;291,88;SE2;0;312,28;EAE1;289,21;0;SP;0;312,87;Eliminado;0;310,49;EP;181,41;181,31;Eliminado;0;303,94;EP;292,14;0;EP;157,96;0;EP;169,31;0;Eliminado;0;306,75;EP;255,93;0;EP;292,21;0;SAE2;0;293,13;EAE2;304,12;0;EP;260,11;260,01;EP;227,48;227,38;EP;186,28;0;Eliminado;0;301,89;EP;75,13;0;EP;293,25;0;EP;249,53;249,43;EP;47,33;0;EP;104,1;104;EP;265,86;265,76;Eliminado;0;300,74;SAE1;0;275,9;Eliminado;0;304,77;Eliminado;0;308,31;EP;174,81;0;EP;122,1;122;EP;122,22;0;SS;0;301,89;EP;182,7;0;Eliminado;0;303,4;Eliminado;0;284,55;Eliminado;0;287,48;SR1;0;311,68;EP;236,92;222,82;EP;237,36;0;EP;269,84;0;Eliminado;0;282,98;ER1;195,69;0;ER1;250,22;0;Eliminado;0;280,04;Eliminado;0;287,26;Eliminado;0;275,87;Eliminado;0;271,29;SS;0;251,65;SS;0;203,28;Eliminado;0;308,65;SS;0;203,45;SS;0;239,19;Eliminado;0;275,19;ER1;275,48;0;Eliminado;0;278,09;Eliminado;0;288,57;Eliminado;0;283,13;SS;0;244,22;Eliminado;0;267,26;Eliminado;0;312,21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
llegada_AE;313,1;0;0;313,42;0;0;315,69;0;0;313,61;0,73;7,85;320,95;0;0;319,54;0;;0;0;318,68;316,93;0;0;0;319,11;0;0;0;0;0;0;0;0;314,52;325,04;0;0;320;0;0;Ocupado;0;Ocupado;0;Libre;3;Ocupado;0;Libre;0;Libre;0;Libre;0;Libre;2;Ocupado;2;Ocupado;22;Ocupado;0;Libre;1198,39;809,63;137;2818,81;582,78;67;160,15;494,25;166;499,94;496,06;45;622,6;308,07;19;0,28;172,31;99;SE1;0;309,87;EAE1;312,2;0;EAE2;313,1;0;SE2;0;312,28;EAE1;289,21;0;SP;0;312,87;Eliminado;0;310,49;EP;181,41;181,31;Eliminado;0;303,94;EP;292,14;0;EP;157,96;0;EP;169,31;0;Eliminado;0;306,75;EP;255,93;0;EP;292,21;0;SAE2;0;293,13;EAE2;304,12;0;EP;260,11;260,01;EP;227,48;227,38;EP;186,28;0;Eliminado;0;301,89;EP;75,13;0;EP;293,25;0;EP;249,53;249,43;EP;47,33;0;EP;104,1;104;EP;265,86;265,76;Eliminado;0;300,74;SAE1;0;275,9;Eliminado;0;304,77;Eliminado;0;308,31;EP;174,81;0;EP;122,1;122;EP;122,22;0;SS;0;301,89;EP;182,7;0;Eliminado;0;303,4;Eliminado;0;284,55;Eliminado;0;287,48;SR1;0;311,68;EP;236,92;222,82;EP;237,36;0;EP;269,84;0;Eliminado;0;282,98;ER1;195,69;0;ER1;250,22;0;Eliminado;0;280,04;Eliminado;0;287,26;Eliminado;0;275,87;Eliminado;0;271,29;SS;0;251,65;SS;0;203,28;Eliminado;0;308,65;SS;0;203,45;SS;0;239,19;Eliminado;0;275,19;ER1;275,48;0;Eliminado;0;278,09;Eliminado;0;288,57;Eliminado;0;283,13;SS;0;244,22;Eliminado;0;267,26;Eliminado;0;312,21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
