Evento;Reloj;RND Llegada EP;Tiempo entre llegadas EP;Proxima llegada EP;RND Llegada R;Tiempo entre llegadas R;Proxima llegada R;RND Llegada V;Tiempo entre llegadas V;Proxima llegada V;RND Llegada AE;Tiempo entre llegadas AE;Proxima llegada AE;RND Llegada P;Tiempo entre llegadas P;Proxima llegada P;RND fin EP;Tiempo atencion EP;Fin envio 1;Fin envio 2;Fin envio 3;RND fin R;Tiempo atencion R;Fin reclamo 1;Fin reclamo 2;Fin reclamo 3;RND fin V;Tiempo atencion V;Fin venta 1;Fin venta 2;RND fin AE;Tiempo atencion AE;Fin atencion 1;Fin atencion 2;RND fin P;Tiempo atencion P;Fin postal;EP COLA 1;EP Estado 1;EP COLA 2;EP Estado 2;EP COLA 3;EP Estado 3;R COLA 1;R Estado 1;R COLA 2;R Estado 2;R COLA 3;R Estado 3;V COLA 1;V Estado 1;V COLA 2;V Estado 2;AE COLA 1;AE Estado 1;AE COLA 2;AE Estado 2;P COLA 1;P Estado 1;AC tiempo espera EP;AC ocupacion EP;CANT EP;AC tiempo espera R;AC ocupacion R;CANT R;AC tiempo espera V;AC ocupacion V;CANT V;AC tiempo espera AE;AC ocupacion AE;CANT AE;AC tiempo espera P;AC ocupacion P;CANT P;Estado 1;HEspera 1;HAtencion 1;Estado 2;HEspera 2;HAtencion 2;Estado 3;HEspera 3;HAtencion 3;Estado 4;HEspera 4;HAtencion 4;Estado 5;HEspera 5;HAtencion 5;Estado 6;HEspera 6;HAtencion 6;Estado 7;HEspera 7;HAtencion 7;Estado 8;HEspera 8;HAtencion 8;Estado 9;HEspera 9;HAtencion 9;Estado 10;HEspera 10;HAtencion 10;Estado 11;HEspera 11;HAtencion 11;Estado 12;HEspera 12;HAtencion 12;Estado 13;HEspera 13;HAtencion 13;Estado 14;HEspera 14;HAtencion 14;Estado 15;HEspera 15;HAtencion 15;Estado 16;HEspera 16;HAtencion 16;Estado 17;HEspera 17;HAtencion 17;Estado 18;HEspera 18;HAtencion 18;Estado 19;HEspera 19;HAtencion 19;Estado 20;HEspera 20;HAtencion 20;Estado 21;HEspera 21;HAtencion 21;Estado 22;HEspera 22;HAtencion 22;Estado 23;HEspera 23;HAtencion 23;Estado 24;HEspera 24;HAtencion 24;Estado 25;HEspera 25;HAtencion 25;Estado 26;HEspera 26;HAtencion 26;Estado 27;HEspera 27;HAtencion 27;Estado 28;HEspera 28;HAtencion 28;Estado 29;HEspera 29;HAtencion 29;Estado 30;HEspera 30;HAtencion 30;Estado 31;HEspera 31;HAtencion 31;Estado 32;HEspera 32;HAtencion 32;Estado 33;HEspera 33;HAtencion 33
inicializacion;0;0,4;1,22;1,22;0,19;0,84;0,84;0,28;0,65;0,65;0,41;3,16;3,16;0,43;4,21;4,21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Libre;0;Libre;0;Libre;0;Libre;0;Libre;0;Libre;0;Libre;0;Libre;0;Libre;0;Libre;0;Libre;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
llegada_venta;0,65;0;0;1,22;0;0;0,84;0,49;1,34;1,99;0;0;3,16;0;0;4,21;0;0;0;0;0;0;0;0;0;0;0,43;1,87;2,52;0;0;0;0;0;0;0;0;0;Libre;0;Libre;0;Libre;0;Libre;0;Libre;0;Libre;0;Ocupado;0;Libre;0;Libre;0;Libre;0;Libre;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SV1;0;0,65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
llegada_reclamo;0,84;0;0;1,22;0,01;0,04;0,88;0;0;1,99;0;0;3,16;0;0;4,21;0;0;0;0;0;0,18;1,7;2,54;0;0;0;0;2,52;0;0;0;0;0;0;0;0;0;Libre;0;Libre;0;Libre;0;Ocupado;0;Libre;0;Libre;0;Ocupado;0;Libre;0;Libre;0;Libre;0;Libre;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SV1;0;0,65;SR1;0;0,84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
llegada_reclamo;0,88;0;0;1,22;0,28;1,31;2,19;0;0;1,99;0;0;3,16;0;0;4,21;0;0;0;0;0;0,86;16,84;2,54;17,72;0;0;0;2,52;0;0;0;0;0;0;0;0;0;Libre;0;Libre;0;Libre;0;Ocupado;0;Ocupado;0;Libre;0;Ocupado;0;Libre;0;Libre;0;Libre;0;Libre;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SV1;0;0,65;SR1;0;0,84;SR2;0;0,88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
llegada_envio;1,22;0,32;0,92;2,14;0;0;2,19;0;0;1,99;0;0;3,16;0;0;4,21;0,26;1,8;3,02;0;0;0;0;2,54;17,72;0;0;0;2,52;0;0;0;0;0;0;0;0;0;Ocupado;0;Libre;0;Libre;0;Ocupado;0;Ocupado;0;Libre;0;Ocupado;0;Libre;0;Libre;0;Libre;0;Libre;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SV1;0;0,65;SR1;0;0,84;SR2;0;0,88;SE1;0;1,22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
llegada_venta;1,99;0;0;2,14;0;0;2,19;0,71;2,47;4,46;0;0;3,16;0;0;4,21;0;0;3,02;0;0;0;0;2,54;17,72;0;0,76;4,75;2,52;6,74;0;0;0;0;0;0;0;0;Ocupado;0;Libre;0;Libre;0;Ocupado;0;Ocupado;0;Libre;0;Ocupado;0;Ocupado;0;Libre;0;Libre;0;Libre;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SV1;0;0,65;SR1;0;0,84;SR2;0;0,88;SE1;0;1,22;SV2;0;1,99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
llegada_envio;2,14;0,99;11,05;13,19;0;0;2,19;0;0;4,46;0;0;3,16;0;0;4,21;0,66;6,47;3,02;8,61;0;0;0;2,54;17,72;0;0;0;2,52;6,74;0;0;0;0;0;0;0;0;Ocupado;0;Ocupado;0;Libre;0;Ocupado;0;Ocupado;0;Libre;0;Ocupado;0;Ocupado;0;Libre;0;Libre;0;Libre;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SV1;0;0,65;SR1;0;0,84;SR2;0;0,88;SE1;0;1,22;SV2;0;1,99;SE2;0;2,14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
llegada_reclamo;2,19;0;0;13,19;0,46;2,46;4,65;0;0;4,46;0;0;3,16;0;0;4,21;0;0;3,02;8,61;0;0,16;1,49;2,54;17,72;3,68;0;0;2,52;6,74;0;0;0;0;0;0;0;0;Ocupado;0;Ocupado;0;Libre;0;Ocupado;0;Ocupado;0;Ocupado;0;Ocupado;0;Ocupado;0;Libre;0;Libre;0;Libre;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SV1;0;0,65;SR1;0;0,84;SR2;0;0,88;SE1;0;1,22;SV2;0;1,99;SE2;0;2,14;SR3;0;2,19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fin_venta1;2,52;0;0;13,19;0;0;4,65;0;0;4,46;0;0;3,16;0;0;4,21;0;0;3,02;8,61;0;0;0;2,54;17,72;3,68;0;0;0;6,74;0;0;0;0;0;0;0;0;Ocupado;0;Ocupado;0;Libre;0;Ocupado;0;Ocupado;0;Ocupado;0;Libre;0;Ocupado;0;Libre;0;Libre;0;Libre;0;0;0;0;0;0;0;1,87;1;0;0;0;0;0;0;Eliminado;0;0,65;SR1;0;0,84;SR2;0;0,88;SE1;0;1,22;SV2;0;1,99;SE2;0;2,14;SR3;0;2,19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fin_reclamo1;2,54;0;0;13,19;0;0;4,65;0;0;4,46;0;0;3,16;0;0;4,21;0;0;3,02;8,61;0;0;0;0;17,72;3,68;0;0;0;6,74;0;0;0;0;0;0;0;0;Ocupado;0;Ocupado;0;Libre;0;Libre;0;Ocupado;0;Ocupado;0;Libre;0;Ocupado;0;Libre;0;Libre;0;Libre;0;0;0;0;1,7;1;0;1,87;1;0;0;0;0;0;0;Eliminado;0;0,65;Eliminado;0;0,84;SR2;0;0,88;SE1;0;1,22;SV2;0;1,99;SE2;0;2,14;SR3;0;2,19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
